Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Angle (deg)
0,0.01499938965,4.374771118,8.432525635,9.499807151,27.4201231902003
0.003997802,0.1179351807,4.367584229,8.415771484,9.482347303,27.4259337136294
0.008026123,0.1873779297,4.305343628,8.391830444,9.433658487,27.1538331988532
0.012054443,0.2208862305,4.137741089,8.444488525,9.40633183,26.0967935998038
0.016082763,0.2711639404,3.831283569,8.485198975,9.314014457,24.2894231017293
0.020111084,0.2568054199,3.60144043,8.343933105,9.09161932,23.3363119045081
0.024139404,0.2256774902,3.43145752,8.176345825,8.870088054,22.759086643102
0.028167724,0.2951202393,3.211196899,8.070999146,8.691369782,21.6829097389052
0.032165527,0.3932800293,2.95262146,8.059036255,8.591897813,20.0995205480641
0.036193847,0.3884887695,2.761077881,8.073394775,8.541321782,18.8602632118646
0.040222168,0.3166656494,2.569549561,8.106918335,8.510287126,17.5738327163209
0.04421997,0.2352600098,2.401947021,8.150009155,8.499843881,16.4146773234878
0.048248291,0.1777954102,2.318161011,8.240982056,8.562667045,15.7076423280749
0.052276611,0.1514587402,2.251113892,8.343933105,8.643591451,15.0960134235141
0.056274414,0.1203308105,2.167327881,8.458862305,8.73293428,14.3697604890976
0.060302734,0.04611206055,2.097885132,8.576171875,8.829154681,13.7454545530353
0.064300537,0.01499938965,2.107467651,8.664764404,8.917386785,13.67017773349
0.068328857,0.05569458008,2.140991211,8.664764404,8.925530093,13.8790285190941
0.07232666,0.04611206055,2.157745361,8.619277954,8.885378091,14.0543542091943
0.07635498,0.06048583984,2.176895142,8.576171875,8.848347587,14.2422853641138
0.080352783,0.08203125,2.260696411,8.489990234,8.786205755,14.9099520734679
0.084381103,0.07484436035,2.315765381,8.406188965,8.719655033,15.4014152250139
0.088378906,0.06527709961,2.354064941,8.387039185,8.711389621,15.6778588519176
0.092407226,0.06288146973,2.373214722,8.324783325,8.656680634,15.9112678876837
0.096405029,0.01499938965,2.380401611,8.245773315,8.582500474,16.1024213106433
0.100433349,-0.01373291016,2.397171021,8.221832275,8.564177921,16.2546380334196
0.104431152,-0.04725646973,2.382797241,8.157196045,8.498223531,16.2833444460546
0.108459472,-0.0376739502,2.344497681,8.130859375,8.46220792,16.0845209475246
0.112457275,0.03175354004,2.363647461,8.214645386,8.547996047,16.0523070137134
