Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Angle (deg)
0,-0.02331542969,0.3070220947,9.138809204,9.143994742,1.92414559483553
0.003997802,-0.001770019531,0.297454834,9.213027954,9.217828735,1.84922787325071
0.008026123,0.01737976074,0.2830810547,9.292037964,9.296365228,1.74496772643005
0.012054443,0.04850769043,0.2782897949,9.394989014,9.399234904,1.69664460936856
0.016082763,0.07005310059,0.2591400146,9.533859253,9.537637718,1.55693233427819
0.020111083,0.08682250977,0.2495574951,9.689483643,9.693085698,1.47529607958108
0.024139404,0.1083679199,0.2423858643,9.818771362,9.822360489,1.41402842306682
0.028137207,0.1251220703,0.2351989746,9.974395752,9.977952932,1.350693567884
0.032165527,0.1586456299,0.2208404541,10.12522888,10.12887945,1.24932167955275
0.036193847,0.1825866699,0.2064666748,10.20663452,10.21035526,1.15867421978389
0.040222167,0.1873779297,0.201675415,10.23057556,10.23427866,1.12913654929476
0.04421997,0.1993408203,0.2184448242,10.23057556,10.23484886,1.22297037209977
0.048248291,0.2089233398,0.2256164551,10.21859741,10.22322282,1.2645640662538
0.052276611,0.1825866699,0.2232208252,10.17550659,10.17959232,1.25649790111453
0.056274414,0.1777954102,0.2304077148,10.11804199,10.12222667,1.30431083436195
0.060302734,0.1634368896,0.228012085,10.06057739,10.06448799,1.2981532645109
0.064300537,0.1466674805,0.2256164551,9.995941162,9.999562683,1.2928533089604
0.068328857,0.1251220703,0.2304077148,9.892990112,9.896463844,1.33407070908593
0.07232666,0.09399414062,0.2375946045,9.768493652,9.771834747,1.39323986655711
0.07635498,0.07005310059,0.247177124,9.622436523,9.625865603,1.47142744632643
0.080352783,0.05569458008,0.247177124,9.490768433,9.494149981,1.49184565033635
0.084381103,0.0365447998,0.2591400146,9.390213013,9.393859137,1.58076810870899
0.088378906,0.02935791016,0.275894165,9.315979004,9.320109671,1.69631918069555
0.092407226,0.0078125,0.2782897949,9.268096924,9.272277327,1.71988228467947
0.096405029,0.003021240234,0.275894165,9.234588623,9.238709529,1.71126948474747
0.100433349,-0.01373291016,0.2735137939,9.203460693,9.207534259,1.70224636125721
