Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Angle (deg)
0,0.02935791016,5.128952026,8.559417725,9.978509035,30.9306261623155
0.003997802,0.01260375977,5.116973877,8.485198975,9.908692252,31.0919243104572
0.008026123,-0.02810668945,5.100219727,8.413375854,9.838593625,31.2242576369534
0.012054443,-0.07838439941,5.061904907,8.346328735,9.761671412,31.2349712343671
0.016082763,-0.1549987793,5.011627197,8.281692505,9.681263478,31.175587808734
0.020111083,-0.2220306396,4.954177856,8.226623535,9.605754037,31.0476703084457
0.024139404,-0.2914733887,4.915863037,8.200286865,9.56532126,30.9256645946855
0.028137207,-0.3369598389,4.865585327,8.219436646,9.557541592,30.6027916646582
0.032165527,-0.3465270996,4.832061768,8.269714355,9.584209799,30.276206318392
0.036193847,-0.3249816895,4.815307617,8.305633545,9.606057939,30.0846023929182
0.04019165,-0.2747039795,4.798553467,8.322387695,9.610604279,29.9535529570127
0.04421997,-0.2148590088,4.805725098,8.348724365,9.635473867,29.917558082168
0.048248291,-0.1765441895,4.810516357,8.351119995,9.639161823,29.9378038934434
0.052246093,-0.16456604,4.808120728,8.363098145,9.648135441,29.8907079449091
0.056274414,-0.1813354492,4.793762207,8.379852295,9.655825347,29.7662835164362
0.060302734,-0.2052764893,4.776992798,8.389434814,9.65631478,29.65006468566
0.064300537,-0.2483673096,4.745880127,8.406188965,9.656556188,29.4370586323424
0.068328857,-0.284286499,4.712356567,8.434921265,9.666179182,29.1770354687473
0.07232666,-0.3130187988,4.678833008,8.446884155,9.6612272,28.9659472218122
0.07635498,-0.3776550293,4.630950928,8.420547485,9.617377489,28.7846637418336
0.080352783,-0.5476379395,4.480117798,8.367874146,9.507506535,28.1134541119306
0.084381103,-0.6697540283,4.326889038,8.205078125,9.300206785,27.7261789295985
0.088378906,-0.729598999,4.207183838,8.176345825,9.224171594,27.1360059492336
0.092407226,-0.6984863281,4.137741089,8.262542725,9.267059768,26.5193407524682
0.096405029,-0.6362304688,4.142532349,8.317596436,9.313848503,26.4087064518206
0.100433349,-0.5763702393,4.197601318,8.312820435,9.330329204,26.7364858113265
0.104431152,-0.5260925293,4.257461548,8.296051025,9.339551103,27.1198253957268
0.108428955,-0.5021514893,4.319702148,8.252960205,9.328629852,27.5846492577347
0.112457275,-0.4973602295,4.355621338,8.178741455,9.279580606,27.9938612808014
0.116455078,-0.4734191895,4.401107788,8.109313965,9.238768775,28.4488385708037
0.120483398,-0.3225860596,4.137741089,7.987197876,9.001127318,27.3671978419891
0.124481201,0.1897735596,3.4506073,7.687927246,8.428934101,24.1656717278495
0.128479003,0.5177764893,2.97177124,7.596954346,8.173936147,21.3194034374947
0.132507324,0.6805725098,2.67010498,7.692718506,8.171325324,19.0725551239954
0.136505126,0.7571868896,2.500106812,7.802856445,8.228513521,17.6880621822933
0.140533447,0.7404327393,2.368438721,7.874679565,8.256410895,16.6700958413737
0.14453125,0.7404327393,2.296600342,7.975234985,8.332285811,15.9993641511991
0.148529052,0.7093048096,2.246322632,8.109313965,8.444527912,15.4269318884244
0.152557373,0.6805725098,2.287033081,8.351119995,8.685326961,15.2672382232958
0.156555175,0.6231231689,2.330123901,8.595336914,8.927349917,15.1299757986424
0.160552978,0.5608673096,2.337310791,8.770111084,9.093538492,14.8938963735601
0.164581298,0.5441131592,2.361251831,8.966430664,9.288080975,14.72760030223
0.168579101,0.4962310791,2.358856201,8.995162964,9.31254018,14.6728104490263
0.172576904,0.4722900391,2.337310791,8.930511475,9.243382217,14.6470038665898
0.176605224,0.4052429199,2.287033081,8.758132935,9.060884871,14.6200069996082
0.180603027,0.2831420898,2.188873291,8.628845215,8.906643895,14.2265957632958
0.18460083,0.2280731201,2.186477661,8.633636475,8.90911784,14.2066687804127
0.188598632,0.2137145996,2.260696411,8.753341675,9.043086457,14.4770200821475
0.192626953,0.2903289795,2.322937012,8.829956055,9.135012381,14.7314841146504
0.196624755,0.3142700195,2.421112061,8.777282715,9.110501694,15.4114981186427
0.200622558,0.2759552002,2.492935181,8.580963135,8.940011488,16.1916677155613
0.204650878,0.2711639404,2.557571411,8.442108154,8.825185069,16.8462050431378
0.208648681,0.3094787598,2.638977051,8.341552734,8.754511922,17.5442299348828
0.212646484,0.3118743896,2.689254761,8.221832275,8.656089346,18.100082370287
0.216644287,0.3094787598,2.65335083,8.111694336,8.540236105,18.1007112460275
0.220672607,0.2663879395,2.581512451,7.886642456,8.302668143,18.1150230273519
0.22467041,0.1873779297,2.662918091,7.838760376,8.280845819,18.7582382224326
0.228668212,0.1203308105,2.78024292,7.757354736,8.241406597,19.7155362780894
