Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Angle (deg)
0,0.1610412598,2.014083862,8.947280884,9.172584331,12.6841593790672
0.003997803,0.1179351807,1.970993042,8.911361694,9.127490867,12.4706980003983
0.008026123,0.09161376953,1.961425781,8.865875244,9.080711868,12.4741501271576
0.012084961,0.1179351807,1.970993042,8.825180054,9.043369132,12.5885949907511
0.016082764,0.1586456299,2.002120972,8.801239014,9.027483869,12.8136389450076
0.020111084,0.1347045898,2.030853271,8.772506714,9.005519662,13.0329908243935
0.024139404,0.08442687988,2.050003052,8.688705444,8.92766726,13.2749122370588
0.028167724,0.08442687988,2.083526611,8.633636475,8.881885488,13.5669588414806
0.032196045,0.04132080078,2.263092041,8.614486694,8.906889132,14.719274883875
0.036193848,-0.06161499023,2.490539551,8.513931274,8.870941856,16.3051243967351
0.040222168,-0.1071166992,2.643768311,8.391830444,8.799079672,17.4852122541988
0.044250488,-0.1478118896,2.741928101,8.308029175,8.750049533,18.2619235849868
0.048248291,-0.1621856689,2.77545166,8.293655396,8.747237045,18.499396422753
0.052276611,-0.135848999,2.811355591,8.408584595,8.867156821,18.4847751187891
0.056304932,-0.1238708496,2.80657959,8.547439575,8.997274936,18.1759794125047
0.060302734,-0.135848999,2.789810181,8.573776245,9.017268705,18.022188376195
0.064331055,-0.0951385498,2.763473511,8.621673584,9.054230645,17.7710096059607
0.068328857,-0.02331542969,2.734741211,8.638427734,9.061003632,17.5666117483043
0.072357178,0.01737976074,2.713195801,8.705459595,9.118484538,17.3104486810196
0.07635498,0.1011810303,2.842483521,8.968826294,9.409027328,17.583882279622
0.080383301,0.03894042969,2.986129761,9.028686523,9.509766961,18.3008546493456
0.084381103,-0.04965209961,3.06993103,9.016708374,9.525123189,18.801973529976
0.088409424,-0.1573944092,3.10345459,8.983184814,9.505462261,19.0559740627347
0.092407226,-0.2244262695,3.00769043,8.760528564,9.26517294,18.9427504795248
0.096435547,-0.2818908691,2.90473938,8.535476685,9.020606164,18.7846186554175
0.100433349,-0.2507629395,2.916702271,8.303237915,8.804191846,19.3468267776211
0.10446167,-0.2196350098,2.88079834,8.008758545,8.51395631,19.7771028871929
0.108459473,-0.1813354492,2.89276123,7.893829346,8.409131455,20.1209092017872
0.112487793,-0.0951385498,2.84967041,7.903411865,8.40199928,19.826055376093
0.116485596,-0.1286621094,2.79460144,7.929748535,8.408761085,19.4111097044557
0.120483398,-0.1382446289,2.83052063,7.905807495,8.398377865,19.6961397118524
0.124511719,-0.0209197998,2.82333374,8.039871216,8.521219409,19.3495075195285
0.128509521,0.01020812988,2.890365601,8.152404785,8.6496255,19.5215134771944
0.132537842,0.0532989502,3.014862061,8.322387695,8.851800437,19.9130124157183
0.136535644,0.10597229,3.12979126,8.537872314,9.094068788,20.1303701027513
0.140533447,0.1777954102,3.1824646,8.722229004,9.286386323,20.041589691072
0.144561767,0.2089233398,3.17048645,8.794052124,9.350453789,19.8204065034712
0.14855957,0.25440979,3.13218689,8.834747314,9.376997343,19.5134887860458
0.15258789,0.2496185303,3.14654541,8.892211914,9.435808929,19.4794374226585
0.156585693,0.2256774902,3.14654541,8.973617554,9.511965641,19.3172575641835
0.160583496,0.18019104,3.22795105,9.136413574,9.691552496,19.4551283915683
0.164611816,0.1873779297,3.2734375,9.306411743,9.867107129,19.375179931024
0.168609619,0.1586456299,3.34526062,9.454849243,10.03045918,19.4819704745821
0.172607422,0.07244873047,3.37399292,9.469207764,10.05261024,19.6110663142645
0.176635742,0.0532989502,3.543991089,9.488372803,10.12876755,20.4808082469502
0.180633545,0.08203125,3.670883179,9.167541504,9.875521741,21.8214473080753
0.184631348,0.07244873047,3.65171814,9.026290894,9.737259444,22.0258733376698
0.188659668,0.005416870117,3.673278809,8.911361694,9.638743372,22.4015382196012
0.192657471,0.005416870117,3.836074829,8.916152954,9.70635271,23.2792464896953
