Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0.08203125,3.342880249,9.160369873,9.751612877
0.003997803,0.07963562012,3.35244751,9.114868164,9.71216082
0.008026123,0.07484436035,3.35244751,9.071777344,9.671693242
0.012054444,0.08203125,3.364425659,9.050231934,9.655712671
0.016082764,0.07484436035,3.366821289,9.045440674,9.651998977
0.020111084,0.07244873047,3.37159729,9.064590454,9.671593313
0.024139405,0.07244873047,3.369216919,9.081359863,9.686483801
0.028167725,0.07723999023,3.366821289,9.090927124,9.694658714
0.032165528,0.08442687988,3.359634399,9.100509644,9.701213685
0.036193848,0.07963562012,3.37399292,9.100509644,9.706155049
0.040222168,0.07963562012,3.369216919,9.090927124,9.695510325
0.044219971,0.08442687988,3.37399292,9.083740234,9.690474331
0.048248291,0.09161376953,3.37638855,9.078964233,9.686897557
0.052276612,0.09399414062,3.366821289,9.076568604,9.681343817
0.056274414,0.08921813965,3.38117981,9.059799194,9.670589342
0.060302735,0.07723999023,3.38117981,9.040649414,9.652548096
0.064300537,0.07723999023,3.38117981,9.026290894,9.63910111
0.068328858,0.08442687988,3.390762329,9.019104004,9.635799609
0.072357178,0.08682250977,3.385971069,9.028686523,9.643107309
0.076354981,0.07963562012,3.38117981,9.047836304,9.659299173
0.080383301,0.08203125,3.385971069,9.071777344,9.683422607
0.084381104,0.07963562012,3.37878418,9.083740234,9.692103023
0.088409424,0.07963562012,3.383575439,9.093322754,9.702754418
0.092407227,0.08203125,3.37638855,9.098114014,9.704762098
0.096435547,0.07963562012,3.37399292,9.090927124,9.697171032
0.10043335,0.07244873047,3.366821289,9.102905273,9.705854874
0.104431153,0.07244873047,3.362030029,9.107696533,9.708688422
0.108459473,0.06527709961,3.362030029,9.105300903,9.706390243
0.112457276,0.07244873047,3.37159729,9.117263794,9.72097815
0.116485596,0.07484436035,3.364425659,9.124450684,9.725253826
0.120483399,0.07723999023,3.362030029,9.126846313,9.726691913
0.124511719,0.08442687988,3.364425659,9.124450684,9.725332292
0.128509522,0.08682250977,3.37159729,9.112472534,9.716602396
0.132507324,0.08203125,3.37638855,9.090927124,9.698024785
0.136535645,0.08203125,3.369216919,9.086135864,9.691037959
0.140533447,0.07244873047,3.35484314,9.083740234,9.68372645
0.14453125,0.08682250977,3.364425659,9.086135864,9.689415003
0.148559571,0.07963562012,3.37399292,9.098114014,9.703908937
0.152557373,0.07484436035,3.366821289,9.107696533,9.710366801
0.156585694,0.07963562012,3.37878418,9.100509644,9.707821596
0.160583496,0.09161376953,3.38117981,9.100509644,9.708761289
0.164581299,0.08921813965,3.369216919,9.100509644,9.704579244
0.168609619,0.08203125,3.37878418,9.102905273,9.710087336
0.172607422,0.07484436035,3.37159729,9.100509644,9.705284423
