Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Angle (deg)
0,0.3022918701,4.556732178,8.504348755,9.652934075,28.1678842290512
0.003997803,0.32862854,4.556732178,8.549835205,9.693889152,28.0383429634942
0.008026123,0.3430023193,4.561523438,8.612091064,9.751577265,27.8898265801833
0.012054444,0.3406066895,4.554336548,8.640823364,9.773526627,27.7741190107136
0.016082764,0.3477783203,4.537582397,8.667160034,9.78929348,27.6148051866811
0.020111084,0.3693389893,4.520828247,8.743774414,9.850273617,27.3196693804565
0.024139405,0.4603118896,4.451385498,8.820388794,9.890701611,26.7473800105302
0.028137207,0.6087493896,4.307739258,8.772506714,9.792041022,26.0989370334108
0.032165528,0.7404327393,4.199996948,8.578567505,9.580189739,26.0021172523444
0.036193848,0.8385925293,4.164077759,8.379852295,9.394929776,26.3098986841251
0.040222168,0.9032440186,4.199996948,8.288879395,9.336024086,26.7353421638781
0.044219971,0.9367523193,4.276611328,8.303237915,9.386728356,27.1036685937416
0.048248291,0.8745117188,4.377166748,8.384643555,9.498768711,27.4396536856225
0.052276612,0.7739562988,4.480117798,8.461257935,9.605381287,27.8019979820972
0.056274414,0.6255187988,4.549545288,8.521102905,9.67981564,28.0345107055711
0.060302735,0.4698944092,4.585464478,8.557022095,9.719563383,28.1496941922004
0.064300537,0.3453979492,4.621383667,8.564208984,9.737667188,28.3325526844568
0.068328858,0.2687835693,4.640533447,8.554626465,9.735934944,28.4661667718056
0.07232666,0.2185058594,4.650100708,8.549835205,9.735032791,28.5331192082771
0.076354981,0.1945495605,4.659683228,8.561813354,9.749622825,28.5506018004495
0.080352784,0.18019104,4.645324707,8.561813354,9.74249241,28.4773106806303
0.084381104,0.1682281494,4.640533447,8.583358765,9.758939444,28.3929627198594
0.088378907,0.1490631104,4.635742188,8.624053955,9.792171979,28.2560753031688
0.092407227,0.1514587402,4.616592407,8.688705444,9.840196517,27.9795586935445
0.09640503,0.2592010498,4.549545288,8.784469604,9.896082747,27.369811228054
0.10043335,0.4962310791,4.391540527,8.901794434,9.93850178,26.2233502505964
0.104431153,0.7835235596,4.202392578,9.028686523,9.989554189,24.8774434932134
0.108459473,1.013366699,3.979736328,9.169937134,10.04753504,23.3340226917267
0.112457276,1.173782349,3.766647339,9.301620483,10.10373895,21.8882423092577
0.116485596,1.303070068,3.589477539,9.361480713,10.11037397,20.7952313113896
0.120483399,1.355743408,3.443435669,9.296829224,10.00631416,20.1284697894708
0.124481201,1.350952148,3.314147949,9.090927124,9.770036045,19.8290870975849
0.128509522,1.307861328,3.21836853,8.746170044,9.410838841,19.9978754238411
0.132507325,1.202514648,3.14414978,8.466049194,9.110746856,20.1881082384613
0.136505127,1.066040039,3.08190918,8.209869385,8.833830476,20.4185660123237
0.140533448,0.8816986084,2.96937561,8.049453735,8.624864601,20.1379016174008
0.14453125,0.6997375488,2.87840271,7.987197876,8.5188124,19.7482390706112
0.148559571,0.5824127197,2.80178833,7.960861206,8.459582352,19.3414448658945
0.152557373,0.4674987793,2.75390625,7.991989136,8.466076133,18.9829761722102
0.156555176,0.3430023193,2.713195801,8.118881226,8.567106536,18.4634235665501
0.160583496,0.2161102295,2.662918091,8.274505615,8.695129646,17.8336224665471
0.164581299,0.1155548096,2.631790161,8.401397705,8.804723492,17.3919441773291
0.168579102,0.01737976074,2.564758301,8.521102905,8.898734849,16.7511842650105
0.172607422,-0.06161499023,2.502502441,8.597717285,8.954722631,16.228082795365
0.176605225,-0.140625,2.416320801,8.667160034,8.998780176,15.5760079824094
0.180603028,-0.2411804199,2.385192871,8.727005005,9.050299961,15.2807215486875
0.184631348,-0.2794952393,2.385192871,8.834747314,9.15532756,15.1012235686985
0.188629151,-0.3177947998,2.401947021,8.959243774,9.281077095,14.9988975893886
0.192626953,-0.3154144287,2.435470581,9.052627563,9.379822441,15.0492934070854
0.196655274,-0.284286499,2.468994141,9.165145874,9.496138677,15.0700501788641
0.200653076,-0.334564209,2.536026001,9.181915283,9.531575387,15.4302909907071
0.204650879,-0.4063873291,2.643768311,9.129241943,9.51302896,16.1355217538101
0.208648682,-0.557220459,2.792205811,8.885025024,9.330089904,17.413697306677
