Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Angle (deg)
0,0.6997375488,2.567153931,9.186691284,9.564267285,15.5697301257604
0.003997803,0.8050842285,2.504898071,9.169937134,9.53993826,15.2225897658597
0.008026123,0.8290252686,2.454620361,9.165145874,9.524302752,14.9349241018145
0.012054443,0.6494598389,2.291824341,9.138809204,9.444156424,14.0442478505398
0.016082764,0.4004516602,2.117034912,9.153182983,9.403348184,13.010892558306
0.020111084,0.2496185303,2.042816162,9.320770264,9.545269278,12.3576559671152
0.024139404,0.1634368896,2.026062012,9.483581543,9.698966841,12.057582141832
0.028137207,0.1155548096,2.050003052,9.569763184,9.787554997,12.0901207473781
0.032165527,0.0676574707,2.102676392,9.651168823,9.877797588,12.2905331925619
0.036193848,0.0365447998,2.172103882,9.682296753,9.923015732,12.6441710053412
0.040191651,-0.01133728027,2.236755371,9.646392822,9.902327888,13.0547349402252
0.044219971,-0.05923461914,2.303787231,9.555404663,9.829379565,13.5549423065211
0.048248291,-0.09753417969,2.389984131,9.397384644,9.697029195,14.2684627583771
0.052246094,-0.135848999,2.454620361,9.179519653,9.503009899,14.9691697547727
0.056274414,-0.1549987793,2.516876221,8.947280884,9.295833784,15.7090881981673
0.060272217,-0.1502075195,2.555175781,8.755737305,9.122193887,16.2664954945833
0.064300537,-0.07119750977,2.519271851,8.681518555,9.039942708,16.1815748407026
0.06829834,0.1179351807,2.351669312,8.693496704,9.006727608,15.1354261732898
0.07232666,0.1897735596,2.241546631,8.762924194,9.047065034,14.3452993988686
0.076324463,0.2280731201,2.181686401,8.906570435,9.17271878,13.7593924375424
0.080352783,0.2639923096,2.160140991,9.114868164,9.371057715,13.3272155277748
0.084350586,0.2759552002,2.148162842,9.284866333,9.534122806,13.0212907189776
0.088378906,0.2879333496,2.145767212,9.452453613,9.697221347,12.7840191175172
0.092376709,0.2711639404,2.155349731,9.560195923,9.803897614,12.7000003153094
0.096405029,0.2639923096,2.169708252,9.627227783,9.872225718,12.6960550550786
0.100402832,0.2232818604,2.186477661,9.667938232,9.914613912,12.7402108818175
0.104400635,0.1347045898,2.224777222,9.612869263,9.867878925,13.0297221202037
0.108428955,0.0365447998,2.296600342,9.416534424,9.692617253,13.7061991061535
0.112426758,-0.07359313965,2.378005981,9.189086914,9.49208337,14.5085923360711
0.116455078,-0.19090271,2.490539551,8.992767334,9.333225349,15.4767076263961
0.120452881,-0.2411804199,2.605453491,8.861083984,9.239337924,16.3793500164628
0.124450684,-0.1932983398,2.636581421,8.798843384,9.187413713,16.6770922091516
0.128479004,-0.07359313965,2.631790161,8.827575684,9.211830863,16.6005013167312
0.132476807,0.02935791016,2.591094971,8.865875244,9.236794838,16.2911731178016
0.136474609,0.10597229,2.536026001,8.995162964,9.346422564,15.7438145125079
0.14050293,0.1466674805,2.52166748,9.160369873,9.50224681,15.3892911575369
0.144500733,0.1514587402,2.531234741,9.327957153,9.666481972,15.1802709830085
0.148498535,0.1179351807,2.567153931,9.476394653,9.818668119,15.1564992116366
0.152526856,0.1634368896,2.567153931,9.572158813,9.911771551,15.0107644825659
0.156524658,0.1897735596,2.576721191,9.600891113,9.942465301,15.0204155996123
0.160522461,0.20652771,2.576721191,9.598495483,9.940485971,15.023476911277
