Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.34085083,-0.05683898926,0.2854766846,9.840316772,9.844620957
0.344879151,-0.02331542969,0.2735137939,9.828338623,9.832171352
0.348876953,0.04850769043,0.2447814941,9.787643433,9.790824017
0.352874756,0.1011810303,0.2399902344,9.737365723,9.740848224
0.356903077,0.1251220703,0.2399902344,9.713424683,9.717194549
0.360900879,0.1275177002,0.247177124,9.708633423,9.712616549
0.364898682,0.1203308105,0.2663269043,9.701446533,9.705847431
0.368896485,0.1131591797,0.2830810547,9.679901123,9.684700596
0.372924805,0.1035766602,0.2950592041,9.641601562,9.646671382
0.376922608,0.1035766602,0.302230835,9.596099854,9.60141677
0.380920411,0.08682250977,0.3094177246,9.555404663,9.560807275
0.384918213,0.07484436035,0.3285675049,9.519485474,9.525448124
0.388946534,0.0676574707,0.3309631348,9.483581543,9.489596041
0.392944336,0.06048583984,0.3357543945,9.457244873,9.463396332
0.396942139,0.0532989502,0.3309631348,9.433303833,9.43925837
0.400939942,0.04132080078,0.3333587646,9.421325684,9.427312083
0.404968262,0.02217102051,0.3381500244,9.433303833,9.439388656
0.408966065,0.01499938965,0.3525085449,9.476394653,9.48296066
0.412963868,-0.001770019531,0.3596954346,9.524276733,9.531066637
0.41696167,-0.01612854004,0.3549041748,9.572158813,9.578749472
0.420989991,-0.03050231934,0.3572998047,9.596099854,9.602797818
0.424987793,-0.0376739502,0.3620910645,9.600891113,9.607790559
0.428985596,-0.0352935791,0.3596954346,9.581741333,9.588555335
0.432983399,-0.02331542969,0.371673584,9.553009033,9.560264978
0.437011719,-0.01133728027,0.3740692139,9.521881104,9.529232711
0.441009522,0.005416870117,0.3764648438,9.488372803,9.495839803
0.445007325,0.0078125,0.3932189941,9.464431763,9.472600002
0.449005127,0.01977539062,0.4051818848,9.462036133,9.470728124
0.453033448,0.02456665039,0.4004058838,9.476394653,9.484881866
0.45703125,0.04371643066,0.3932189941,9.490768433,9.499011409
0.461029053,0.04611206055,0.4027862549,9.529067993,9.537688394
0.465026856,0.06048583984,0.4051818848,9.572158813,9.58092142
0.469055176,0.0676574707,0.4123687744,9.610473633,9.619554511
0.473052979,0.08682250977,0.4051818848,9.651168823,9.660060567
0.477050782,0.09161376953,0.4027862549,9.682296753,9.691104182
0.481048584,0.09638977051,0.4075775146,9.687088013,9.696137612
0.485076905,0.1011810303,0.4171600342,9.684692383,9.694200671
0.489074707,0.1107635498,0.4171600342,9.682296753,9.691912168
0.49307251,0.1011810303,0.4315185547,9.679901123,9.690042911
0.497070313,0.08921813965,0.4363098145,9.679901123,9.690139931
0.501098633,0.08682250977,0.4363098145,9.682296753,9.692511275
0.505096436,0.07484436035,0.4363098145,9.679901123,9.69001825
0.509094239,0.06527709961,0.4339141846,9.699050903,9.708971678
0.513092041,0.06048583984,0.4363098145,9.715820312,9.72580018
0.517120362,0.04850769043,0.4315185547,9.723007202,9.732699025
0.521118164,0.02696228027,0.4267425537,9.713424683,9.722831647
0.525115967,0.01260375977,0.4291229248,9.687088013,9.696596285
0.52911377,0.005416870117,0.4315185547,9.646392822,9.656041222
0.53314209,0.003021240234,0.4243469238,9.605682373,9.615051393
0.537139893,0.003021240234,0.4363098145,9.564987183,9.574933691
0.541137696,0.005416870117,0.4506835938,9.524276733,9.534935361
0.545135498,0.01020812988,0.4722290039,9.495544434,9.507285024
0.549163819,0.02217102051,0.4674377441,9.471603394,9.483156671
0.553161621,0.02696228027,0.4746246338,9.445266724,9.457222583
0.557159424,0.02935791016,0.4817962646,9.433303833,9.445645067
0.561157227,0.03175354004,0.4889831543,9.423721313,9.436452522
0.565185547,0.03414916992,0.4817962646,9.438095093,9.450446169
0.56918335,0.0365447998,0.4817962646,9.464431763,9.476757449
0.573181153,0.03414916992,0.4817962646,9.495544434,9.507820881
0.577178955,0.03175354004,0.4817962646,9.517105103,9.52934549
0.581207276,0.04611206055,0.4794006348,9.545822144,9.557963784
0.585205078,0.05569458008,0.4913787842,9.560195923,9.57297765
0.589202881,0.05090332031,0.4961700439,9.574554443,9.587537152
0.593200684,0.05569458008,0.4961700439,9.588928223,9.601918093
0.597229004,0.05809020996,0.4937744141,9.603286743,9.616148081
0.601226807,0.06527709961,0.4913787842,9.622436523,9.635195839
0.60522461,0.07484436035,0.4913787842,9.651168823,9.663959563
0.609222412,0.07244873047,0.4937744141,9.675109863,9.687972588
0.613250733,0.07005310059,0.5009613037,9.696670532,9.709855255
