Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Angle (deg)
0,-0.1956939697,5.284576416,8.727005005,10.20419817,31.1903256241732
0.003997803,-0.11668396,5.078674316,8.533081055,9.930761312,30.7576852345963
0.008026123,-0.06401062012,4.903900146,8.384643555,9.71362865,30.3212228069698
0.012054444,-0.05204772949,4.808120728,8.331970215,9.619899249,29.9874228247045
0.016082764,-0.04006958008,4.745880127,8.346328735,9.601363815,29.6230940976437
0.020111084,-0.01133728027,4.714752197,8.444488525,9.671525385,29.1756058903168
0.024139405,0.02456665039,4.700378418,8.561813354,9.767231374,28.7663929028796
0.028167725,0.04132080078,4.686019897,8.659973145,9.846604732,28.4181021095657
0.032165528,0.0365447998,4.683624268,8.715042114,9.893918883,28.2541934995423
0.036193848,0.02217102051,4.686019897,8.750961304,9.926660958,28.1683629104703
0.040222168,0.02217102051,4.681228638,8.762924194,9.934950103,28.1114357260271
0.044219971,0.03414916992,4.678833008,8.753341675,9.925403516,28.1251975358459
0.048248291,0.02935791016,4.678833008,8.712646484,9.889517125,28.2363869069415
0.052276612,0.02456665039,4.674057007,8.662368774,9.842969329,28.3503976913684
0.056274414,0.02217102051,4.666870117,8.631240845,9.812160148,28.3997955934627
0.060302735,0.01260375977,4.676437378,8.612091064,9.799864178,28.5023041291576
0.064331055,0.02217102051,4.683624268,8.554626465,9.752869413,28.7004501337561
0.068328858,0.01737976074,4.683624268,8.535476685,9.736066997,28.7546006728917
0.072357178,0.01020812988,4.681228638,8.545059204,9.743307578,28.7151752654857
0.076354981,0.02935791016,4.681228638,8.597717285,9.789561071,28.5669776175723
0.080383301,0.03414916992,4.683624268,8.659973145,9.845437385,28.4059271960169
0.084381104,0.04371643066,4.676437378,8.633636475,9.818892832,28.4420273135997
0.088409424,0.0532989502,4.654891968,8.501953125,9.692990609,28.7006072961316
0.092407227,0.0365447998,4.647720337,8.351119995,9.557397398,29.0973917545593
0.096435547,0.01260375977,4.676437378,8.284088135,9.512903954,29.4450647258178
0.10043335,0.06527709961,4.678833008,8.310424805,9.537237538,29.3790897185634
0.10446167,0.498626709,4.645324707,8.312820435,9.535756593,29.153299312319
0.108459473,1.104354858,4.525604248,8.269714355,9.491515632,28.4769532759558
0.112457276,1.561645508,4.346038818,8.293655396,9.49270825,27.2471168177834
0.116485596,1.872894287,4.195205688,8.394210815,9.569235027,26.0021927583454
0.120483399,1.841766357,4.068313599,8.403793335,9.516670703,25.3085877613613
0.124511719,1.652618408,3.946212769,8.248168945,9.291718558,25.1318113929692
0.128509522,1.571228027,3.848052979,8.073394775,9.080527101,25.0728193621776
0.132537842,1.269546509,3.543991089,8.133255005,8.962223951,23.2932045244542
0.136535645,0.9128112793,3.20161438,8.370269775,9.008050576,20.8190039717067
0.140533448,0.6781921387,2.99810791,8.631240845,9.162254861,19.1003581835063
0.144561768,0.4674987793,2.842483521,8.820388794,9.278875263,17.8387534560434
0.148559571,0.2975006104,2.72756958,8.887420654,9.301311107,17.0523722397797
0.152557373,0.1682281494,2.634185791,8.940093994,9.321615531,16.4147838587383
0.156585694,0.05090332031,2.540817261,8.940093994,9.294279107,15.865157844445
0.160583497,-0.04725646973,2.430679321,8.873062134,9.200090585,15.3195214614857
0.164581299,-0.1286621094,2.361251831,8.825180054,9.136512854,14.9775917021866
0.16860962,-0.2076721191,2.322937012,8.801239014,9.104997103,14.7811523815917
0.172607422,-0.3130187988,2.315765381,8.806015015,9.110798566,14.7248886111363
0.176605225,-0.3800506592,2.318161011,8.841934204,9.148667086,14.6780782041137
