Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Angle (deg)
0,-0.1621856689,4.824890137,8.391830444,9.681357716,29.8921631867455
0.003997802,-0.1789398193,4.798553467,8.406188965,9.681019974,29.7136836753136
0.008026123,-0.1741485596,4.779388428,8.466049194,9.723521503,29.4410983505798
0.012054443,-0.1526031494,4.767425537,8.528289795,9.77155877,29.2018553272555
0.016082763,-0.140625,4.776992798,8.559417725,9.803217195,29.1625030598601
0.020111084,-0.1621856689,4.769821167,8.588150024,9.825162543,29.0432668317266
0.024139404,-0.1621856689,4.767425537,8.619277954,9.851223421,28.9432100765189
0.028137207,-0.140625,4.786575317,8.600112915,9.843425258,29.095798948622
0.032165527,-0.1142883301,4.803329468,8.535476685,9.794865902,29.3663873631259
0.036193847,-0.1095123291,4.808120728,8.413375854,9.690970599,29.7452412704827
0.040222168,-0.07838439941,4.822494507,8.226623535,9.536243085,30.377945023099
0.04421997,-0.04965209961,4.824890137,8.011138916,9.352025283,31.0589206581265
0.048248291,-0.01612854004,4.803329468,7.807632446,9.166861978,31.6001687075924
0.052276611,0.04850769043,4.776992798,7.680740356,9.045207881,31.8787991579674
0.056274414,0.1107635498,4.717147827,7.625671387,8.967419712,31.7377287338771
0.060302734,0.1753997803,4.618988037,7.652008057,8.939745123,31.109818719677
0.064300537,0.1897735596,4.494491577,7.766937256,8.975621587,30.0492564037658
0.068328857,0.1849822998,4.379562378,7.903411865,9.037627132,28.9857489555229
0.07232666,0.18019104,4.267028809,8.044662476,9.108051274,27.9363085497426
0.07635498,0.1658325195,4.147323608,8.188323975,9.180220207,26.8571309197306
0.080352783,0.1682281494,4.053955078,8.324783325,9.260932453,25.9602856073256
0.084381103,0.1777954102,3.941421509,8.444488525,9.320718919,25.0157060342795
0.088378906,0.18019104,3.819320679,8.480407715,9.30252623,24.2405280263881
0.092407226,0.1849822998,3.656509399,8.466049194,9.223788181,23.3546687387636
0.096405029,0.1825866699,3.50567627,8.406188965,9.1097265,22.6330520803885
0.100433349,0.1442718506,3.3309021,8.279296875,8.92538402,21.9127510780848
0.104431152,0.1203308105,3.17288208,8.173950195,8.768986372,21.2126233811408
0.108428955,0.1107635498,2.99810791,8.082977295,8.621800366,20.348883682773
0.112457275,0.1203308105,2.859237671,8.044662476,8.538519421,19.5642317740887
0.116455078,0.1394958496,2.739532471,8.090148926,8.542541009,18.7048352749773
0.120483398,0.1514587402,2.64855957,8.173950195,8.593676125,17.9507075910141
0.124481201,0.1275177002,2.612640381,8.209869385,8.616501949,17.6507206817952
0.128479004,0.1179351807,2.6222229,8.243377686,8.651198606,17.6442017915952
0.132507324,0.1658325195,2.619827271,8.329574585,8.73343049,17.4562147703361
0.136505127,0.2137145996,2.607849121,8.456466675,8.852026863,17.1338376998659
0.140502929,0.2879333496,2.607849121,8.621673584,9.012049603,16.8204573203604
0.14453125,0.3765106201,2.569549561,8.822784424,9.197057691,16.2236950607661
0.148529052,0.3621520996,2.500106812,8.968826294,9.317807323,15.5640198950288
0.152526855,0.2089233398,2.52166748,8.920944214,9.272847541,15.7798006642001
0.156555176,0.1753997803,2.490539551,8.765319824,9.113966423,15.8587214034714
0.160552978,0.1706085205,2.468994141,8.691101074,9.036607617,15.856046296116
0.164550781,0.1371002197,2.416320801,8.504348755,8.842021852,15.8593581686257
0.168579101,0.13230896,2.370834351,8.473220825,8.799649557,15.6299779409824
0.172576904,0.1442718506,2.401947021,8.612091064,8.941939184,15.5819212943556
0.176574707,0.1586456299,2.464202881,8.741378784,9.083455693,15.7407304420451
0.180603027,0.15625,2.540817261,8.650390625,9.017173858,16.3661913692124
0.18460083,0.13230896,2.638977051,8.461257935,8.864231008,17.3201585051011
0.188598633,0.09399414062,2.64616394,8.291259766,8.703792679,17.6994693855014
0.192596435,0.08442687988,2.59588623,8.106918335,8.512806712,17.7544902527281
0.196624756,0.09161376953,2.576721191,7.800460815,8.215538577,18.2787289372126
0.200622558,0.1730041504,2.610244751,7.781295776,8.209255268,18.539819550641
0.204620361,0.1873779297,2.581512451,7.589767456,8.018970449,18.7794214154077
0.208618164,0.1777954102,2.6222229,7.570617676,8.013857756,19.0995853943328
0.212646484,0.18019104,2.636581421,7.632858276,8.07741022,19.0512760941972
0.216644287,0.1586456299,2.617431641,7.671173096,8.10697314,18.8360807685443
0.22064209,0.1753997803,2.660522461,7.910583496,8.347842601,18.584795452092
0.224639892,0.1706085205,2.665313721,8.047058105,8.478687909,18.3218501183328
0.228637695,0.2687835693,2.665313721,8.243377686,8.66772274,17.908556727943
0.232666015,0.3406066895,2.708404541,8.533081055,8.959070284,17.5963195462537
0.236663818,0.3262329102,2.734741211,8.727005005,9.151276073,17.3877727224469
0.240661621,0.3741149902,2.75151062,9.004745483,9.423174303,16.9773733394632
0.244659424,0.3669433594,2.80418396,9.203460693,9.628176559,16.9326667938859
0.248657226,0.2328643799,2.87121582,9.335144043,9.769494378,17.0913515780361
0.252685547,0.1394958496,3.0052948,9.452453613,9.919684231,17.6356398874354
0.256683349,-0.00895690918,3.1537323,9.315979004,9.835322692,18.7024605711727
0.260681152,-0.07838439941,3.15852356,8.727005005,9.281327036,19.8957302657078
0.264678955,-0.210067749,3.17288208,8.401397705,8.983028028,20.683688901055
0.268676758,-0.2794952393,3.14414978,8.257751465,8.840489505,20.8334924982188
0.272705078,-0.2890777588,3.10824585,8.054244995,8.638033379,21.0899146409651
0.276702881,-0.3321685791,3.19921875,7.848342896,8.481852556,22.1593594790957
0.280700683,-0.2818908691,3.113037109,7.546676636,8.16840197,22.4022843645197
0.284698486,-0.2770996094,3.14414978,7.441329956,8.083059665,22.8910563777468
0.288696289,-0.2890777588,3.10345459,7.331192017,7.966264666,22.9280340752206
0.292724609,-0.3489227295,3.14414978,7.340774536,7.993397006,23.1626947724494
0.296722412,-0.3297729492,3.22555542,7.431747437,8.108256775,23.4414176242385
0.300720215,-0.2555541992,3.338088989,7.395828247,8.118277004,24.2791048576431
0.304718017,-0.2196350098,3.35723877,7.546676636,8.262664215,23.9735152802748
0.308746338,-0.1549987793,3.22795105,7.711868286,8.361614979,22.7085665557325
0.31274414,-0.1142883301,3.21836853,7.922561646,8.552072313,22.1063013331722
0.316741943,-0.05204772949,3.17048645,8.030303955,8.633682581,21.5444514841336
0.320739746,0.02456665039,3.24949646,8.255355835,8.871906826,21.4856446222256
0.324737549,0.02935791016,3.464981079,8.609695435,9.28083031,21.9222568392129
0.328765869,0.03175354004,3.539199829,8.846725464,9.528457123,21.8041275851222
0.332763672,0.04850769043,3.587081909,9.043045044,9.728626485,21.63633529392
0.336761474,0.0532989502,3.623001099,9.301620483,9.982440651,21.2807020487057
0.340759277,0.04611206055,3.582290649,9.620056152,10.26549624,20.423973851491
0.344787597,0.09638977051,3.620605469,9.778060913,10.42729832,20.3176000716918
0.3487854,0.07963562012,3.687637329,9.416534424,10.11316624,21.3852613836441
0.352783203,-0.08557128906,3.706787109,9.066986084,9.795806744,22.2349503258502
0.356781006,-0.1789398193,3.658905029,8.983184814,9.701402728,22.1573922972775
0.360778808,-0.1693572998,3.567932129,8.348724365,9.080749974,23.1357902765669
0.364807129,0.1418914795,3.864807129,7.805236816,8.710831711,26.3388086583276
0.368804931,2.646224976,7.626098633,7.927352905,11.31383273,42.3804870015633
0.372802734,7.472930908,14.18382263,8.049453735,17.93932067,52.2468116305409
0.376800537,7.094650269,18.62745667,5.425415039,20.65796051,64.3835463446557
0.380828857,2.854522705,23.50205994,1.367233276,23.71422459,82.3300239381146
0.38482666,-2.240341187,26.5067749,-2.228851318,26.69449424,83.2011397421526
0.388824463,-2.240341187,27.95765686,-1.326248169,28.07861535,84.6798485773427
0.392822265,-4.821289062,29.42530823,12.92404175,32.49806837,64.8836773255337
0.396820068,-2.340896606,28.37185669,19.47937012,34.49475191,55.3356179334911
0.400848388,-1.258728027,24.86195374,19.64935303,31.71432191,51.6222473549701
0.404846191,-0.2220306396,21.28741455,15.24642944,26.18505159,54.3862042687805
0.408843994,0.1993408203,17.66020203,10.85545349,20.73073426,58.4172906183588
0.412841797,0.2208862305,14.29634094,7.371887207,16.08660549,62.711698083022
0.416839599,0.4124298096,11.23655701,6.555465698,13.01554618,59.6912092208987
0.42086792,0.6398773193,8.772918701,6.612930298,11.0047441,52.8630019665528
0.424865722,0.4220123291,6.723480225,5.841995239,8.916960755,48.9389666691569
0.428863525,0.1203308105,4.223937988,7.620895386,8.714021925,28.9947101403757
0.432861328,1.219268799,3.924667358,8.037475586,9.027216851,25.7699849496931
0.436889648,1.705291748,3.292602539,9.289642334,10.00233503,19.2192180002616
0.440887451,0.9607086182,1.954238892,8.947280884,9.208465991,12.2525978560542
0.444885254,0.04850769043,0.840927124,8.959243774,8.998753271,5.36207373283476
0.448883056,-0.7032623291,0.1394348145,9.627227783,9.653887029,0.827573821572092
0.452880859,-1.229995728,-0.09999084473,9.890594482,9.967283826,-0.574795460011523
0.456909179,-1.483779907,0.2399902344,9.165145874,9.287577565,1.48068300009828
