Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0.2592010498,3.32371521,9.241760254,9.82468323
0.003997803,0.2424468994,3.32131958,9.239364624,9.821191522
0.008026123,0.2400512695,3.32131958,9.203460693,9.787363133
0.012054444,0.2424468994,3.314147949,9.203460693,9.784990846
0.016082764,0.2831420898,3.32611084,9.435699463,10.0087765
0.020111084,0.2831420898,3.32131958,9.517105103,10.08397852
0.024139405,0.25440979,3.311752319,9.277679443,9.854327152
0.028137207,0.2161102295,3.335693359,8.908966064,9.515420651
0.032165528,0.1706085205,3.35723877,8.652786255,9.282826584
0.036193848,0.1634368896,3.366821289,8.602508545,9.239337123
0.040191651,0.1730041504,3.37878418,8.712646484,9.346460385
0.044219971,0.1921691895,3.37399292,8.916152954,9.535121432
0.048248291,0.2113189697,3.35723877,9.095718384,9.697824539
0.052246094,0.23046875,3.32850647,9.203460693,9.789574041
0.056274414,0.2376556396,3.311752319,9.225006104,9.804331759
0.060302735,0.2424468994,3.316543579,9.179519653,9.763289552
0.064300537,0.2352600098,3.333297729,9.098114014,9.692362954
0.068328858,0.23046875,3.340484619,9.019104004,9.620612786
0.07232666,0.2256774902,3.342880249,8.976013184,9.580949398
0.076354981,0.2208862305,3.338088989,8.999954224,9.601604285
0.080352783,0.2137145996,3.32850647,9.069381714,9.663245517
0.084381104,0.2256774902,3.32611084,9.145996094,9.734638575
0.088378906,0.2256774902,3.314147949,9.184310913,9.766579437
0.092407227,0.23046875,3.311752319,9.179519653,9.761372871
0.09640503,0.2185058594,3.32371521,9.143600464,9.731405708
0.10043335,0.2017364502,3.32371521,9.090927124,9.681566834
0.104431153,0.1969451904,3.3309021,9.069381714,9.663714652
0.108428955,0.1993408203,3.32850647,9.076568604,9.669684054
0.112457276,0.20652771,3.333297729,9.112472534,9.705188465
0.116455078,0.2137145996,3.32611084,9.136413574,9.725365816
0.120483399,0.2137145996,3.32371521,9.150787354,9.73805247
0.124481201,0.2232818604,3.32611084,9.134033203,9.723344623
0.128509522,0.23046875,3.333297729,9.105300903,9.698994491
0.132507324,0.2185058594,3.342880249,9.071777344,9.670560343
0.136505127,0.2280731201,3.335693359,9.052627563,9.650333328
0.140533447,0.2376556396,3.340484619,9.055023193,9.654468537
0.14453125,0.23046875,3.34526062,9.086135864,9.685130325
0.148529053,0.2400512695,3.335693359,9.117263794,9.711280754
0.152557373,0.2424468994,3.3309021,9.162750244,9.752419255
0.156555176,0.2376556396,3.32611084,9.196273804,9.782174881
0.160552979,0.2520141602,3.32850647,9.205856323,9.792357076
0.164581299,0.2400512695,3.32850647,9.189086914,9.776292664
0.168579102,0.2328643799,3.3309021,9.145996094,9.736445921
0.172576905,0.2376556396,3.32611084,9.186691284,9.77316685
0.176605225,0.2424468994,3.314147949,9.313598633,9.888653934
0.180603028,0.2448425293,3.311752319,9.351898193,9.923993708
0.18460083,0.2328643799,3.32611084,9.263305664,9.845103908
0.188629151,0.1969451904,3.34526062,9.117263794,9.713601552
0.192626953,0.1777954102,3.35244751,9.040649414,9.643850753
0.196624756,0.1706085205,3.35484314,8.992767334,9.599684582
0.200653076,0.1610412598,3.359634399,8.978408813,9.587747515
0.204650879,0.1682281494,3.35484314,8.964035034,9.572731966
0.208648682,0.1753997803,3.35723877,8.966430664,9.575943614
0.212677002,0.1730041504,3.359634399,9.004745483,9.612622689
0.216674805,0.1921691895,3.35723877,9.050231934,9.654774943
0.220672608,0.1921691895,3.359634399,9.100509644,9.702749511
0.22467041,0.1921691895,3.35484314,9.134033203,9.732546637
0.228698731,0.2017364502,3.35723877,9.177124023,9.774014277
0.232696533,0.2017364502,3.35723877,9.208251953,9.803247104
0.236694336,0.1993408203,3.359634399,9.215423584,9.810754909
0.240722656,0.1969451904,3.35723877,9.193878174,9.789649403
0.244720459,0.1873779297,3.35244751,9.150787354,9.747354717
0.248718262,0.1873779297,3.35723877,9.107696533,9.708568318
0.252716065,0.18019104,3.364425659,9.078964233,9.683977508
0.256744385,0.1777954102,3.37159729,9.055023193,9.663991128
0.260742188,0.1706085205,3.37638855,9.043045044,9.654313573
0.26473999,0.15625,3.37638855,9.052627563,9.663047113
0.268768311,0.1514587402,3.35723877,9.052627563,9.656296273
0.272766114,0.1586456299,3.362030029,9.066986084,9.671538192
0.276763916,0.1514587402,3.364425659,9.066986084,9.672256015
0.280761719,0.1490631104,3.364425659,9.050231934,9.656514789
0.284790039,0.1466674805,3.37399292,9.035858154,9.646350199
0.288787842,0.1347045898,3.369216919,9.014312744,9.624323468
0.292785645,0.1418914795,3.34765625,9.009521484,9.61240932
0.296783447,0.1418914795,3.3309021,9.014312744,9.611080909
0.300811768,0.1442718506,3.266265869,9.043045044,9.615922772
0.304809571,0.1658325195,3.19203186,9.071777344,9.618404857
0.308807373,0.1849822998,3.10585022,9.112472534,9.629002011
0.312835694,0.1921691895,3.036422729,9.155578613,9.647870839
