Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0.1490631104,4.688415527,8.621673584,9.815126864
0.003997802,0.1490631104,4.693206787,8.609695435,9.806898859
0.008026123,0.1586456299,4.690811157,8.571395874,9.772292719
0.012054443,0.1538543701,4.688415527,8.521102905,9.726978259
0.016082763,0.13230896,4.681228638,8.468444824,9.677084528
0.020111084,0.1227264404,4.674057007,8.427734375,9.637872036
0.024139404,0.1394958496,4.678833008,8.434921265,9.646700687
0.028167724,0.1514587402,4.688415527,8.504348755,9.712266865
0.032165527,0.1706085205,4.693206787,8.580963135,9.782035858
0.036193847,0.1706085205,4.697998047,8.648010254,9.843189233
0.040222168,0.1706085205,4.686019897,8.671951294,9.858530772
0.04421997,0.1825866699,4.686019897,8.636032104,9.827164946
0.048248291,0.1730041504,4.697998047,8.588150024,9.790681127
0.052276611,0.1610412598,4.693206787,8.542663574,9.748293449
0.056274414,0.1610412598,4.690811157,8.511535645,9.719870505
0.060302734,0.1490631104,4.695602417,8.509140015,9.719895352
0.064331054,0.1442718506,4.693206787,8.525894165,9.73333836
0.068328857,0.15625,4.683624268,8.554626465,9.75409577
0.072357177,0.1538543701,4.681228638,8.571395874,9.767619974
0.07635498,0.1634368896,4.683624268,8.554626465,9.754213543
0.0803833,0.1634368896,4.683624268,8.521102905,9.724826097
0.084381103,0.1442718506,4.688415527,8.485198975,9.695393554
0.088409423,0.1466674805,4.686019897,8.449279785,9.662847547
0.092407226,0.1466674805,4.683624268,8.425338745,9.640756226
0.096435546,0.1418914795,4.686019897,8.399002075,9.618843565
0.100433349,0.1466674805,4.688415527,8.348724365,9.57621794
0.104461669,0.1179351807,4.671661377,8.217041016,9.452940906
0.108459472,0.1035766602,4.671661377,8.121276855,9.369647054
0.112457275,0.1203308105,4.657287598,8.181137085,9.414659382
0.116485595,0.1610412598,4.652496338,8.365493774,9.573564778
0.120483398,0.2280731201,4.676437378,8.607299805,9.798300558
0.124511718,0.2568054199,4.664474487,8.774902344,9.940934685
0.128509521,0.2424468994,4.623764038,8.822784424,9.963909843
0.132507324,0.2280731201,4.523208618,8.786865234,9.885364647
0.136535644,0.2017364502,4.341262817,8.686309814,9.712838856
0.140533447,0.15625,4.149719238,8.573776245,9.526501085
0.144561767,0.1418914795,3.982131958,8.480407715,9.369889174
0.14855957,0.3214569092,3.670883179,8.401397705,9.173995926
0.152557373,0.4363708496,3.37638855,8.351119995,9.018404755
0.156585693,0.4914398193,3.15612793,8.377456665,8.965736823
0.160583496,0.4914398193,3.02923584,8.468444824,9.007349255
0.164581298,0.4698944092,2.95022583,8.545059204,9.052219065
0.168609619,0.4315795898,2.914306641,8.636032104,9.12471888
0.172607421,0.40284729,2.885574341,8.743774414,9.216421009
0.176605224,0.3884887695,2.890365601,8.841934204,9.310474601
0.180633544,0.3860931396,2.916702271,8.923339844,9.395861537
0.184631347,0.3669433594,2.95022583,8.995162964,9.473723483
0.18862915,0.3501739502,2.988525391,9.035858154,9.523688277
0.19265747,0.3358154297,3.02923584,9.074172974,9.572338112
0.196655273,0.3166656494,3.0962677,9.102905273,9.620292886
0.200653076,0.2831420898,3.15852356,9.016708374,9.558110191
0.204681396,0.2520141602,3.17767334,8.877853394,9.432783251
0.208679199,0.2161102295,3.22076416,8.758132935,9.334072954
0.212677002,0.1730041504,3.28302002,8.588150024,9.195894286
0.216674804,0.1849822998,3.335693359,8.351119995,8.994569129
0.220703125,0.1897735596,3.333297729,8.087753296,8.749779491
0.224700927,0.1418914795,3.35005188,7.920166016,8.600698257
0.22869873,0.09638977051,3.385971069,7.778900146,8.484419754
0.23272705,0.01260375977,3.42427063,7.652008057,8.383258048
0.236724853,-0.05204772949,3.4506073,7.740600586,8.475039654
0.240722656,-0.07359313965,3.488922119,8.020721436,8.746997533
0.244720459,-0.00895690918,3.515258789,8.511535645,9.208874177
0.248748779,0.04850769043,3.584686279,8.911361694,9.605451367
0.252746582,0.05569458008,3.644546509,9.098114014,9.801096864
0.256744384,0.0532989502,3.721160889,9.165145874,9.891904671
0.260742187,0.02456665039,3.816925049,9.189086914,9.950318521
0.264770507,0.003021240234,3.924667358,9.150787354,9.956903745
0.26876831,-0.01373291016,4.077896118,8.999954224,9.880718667
0.272766113,-0.05683898926,4.259857178,8.767715454,9.747945842
0.276763916,-0.09034729004,4.358016968,8.557022095,9.603285982
0.280761718,-0.1334533691,4.386749268,8.377456665,9.457439353
0.284759521,-0.05683898926,4.319702148,8.305633545,9.361976602
0.288757324,0.06527709961,4.221542358,8.248168945,9.265957691
0.292755127,0.18019104,4.149719238,8.248168945,9.234984002
0.296783447,0.23046875,4.082687378,8.205078125,9.167592874
0.30078125,0.2615966797,4.132965088,8.334365845,9.306529282
0.304779052,0.3765106201,4.183242798,8.595336914,9.566665941
0.308776855,0.4890441895,4.166473389,8.674346924,9.635505138
0.312774658,0.4914398193,4.068313599,8.722229004,9.636906528
0.31677246,0.5010223389,3.905517578,8.636032104,9.491319268
0.320800781,0.596786499,3.816925049,8.667160034,9.489190377
0.324798584,0.6853637695,3.795379639,8.583358765,9.4100307
0.328796386,0.8122558594,3.864807129,8.549835205,9.417864713
0.332794189,0.8290252686,3.893539429,8.379852295,9.277330255
0.336791992,0.7739562988,3.962966919,8.312820435,9.241596114
0.340820312,0.7117004395,4.051559448,8.346328735,9.304990856
0.344818115,0.6302947998,4.130569458,8.418167114,9.398106892
0.348815918,0.5872039795,4.106628418,8.475616455,9.43638065
0.35281372,0.4914398193,4.077896118,8.619277954,9.547916123
0.356811523,0.3310241699,4.077896118,8.719833374,9.631942059
0.360809326,0.1658325195,4.080291748,8.817993164,9.717678973
0.364837646,0.0532989502,4.077896118,8.798843384,9.698026728
0.368835449,-0.05923461914,4.109024048,8.703063965,9.624495298
0.372833252,-0.0951385498,4.168869019,8.679122925,9.62889895
0.376831054,-0.08557128906,4.331680298,8.801239014,9.809820835
0.380859375,-0.02571105957,4.441818237,8.932907104,9.976333978
0.384857177,0.0532989502,4.472930908,9.021499634,10.06962796
0.38885498,0.005416870117,4.525604248,8.956848145,10.03525046
0.392852783,0.01977539062,4.511245728,8.971221924,10.0416409
0.396850585,0.1083679199,4.408294678,8.976013184,10.00068089
0.400878906,0.1682281494,4.269424438,8.935302734,9.904338479
0.404876709,0.2663879395,4.085083008,8.885025024,9.782767267
0.408874511,0.4148254395,3.953399658,8.959243774,9.801504885
0.412872314,0.448348999,3.874389648,8.908966064,9.725306592
0.416870117,0.4363708496,3.737915039,8.808410645,9.57864951
0.420898437,0.4507293701,3.673278809,8.825180054,9.569740704
0.42489624,0.3884887695,3.594268799,8.667160034,9.39091874
0.428894043,0.3190612793,3.50088501,8.403793335,9.109431287
0.432891845,0.3094787598,3.383575439,8.068603516,8.754811394
0.436920166,0.2879333496,3.32131958,7.850738525,8.52925347
0.440917968,0.2208862305,3.22795105,7.759750366,8.407269738
0.444915771,0.1466674805,3.12739563,7.774124146,8.380878296
0.448913574,0.1490631104,3.08190918,7.991989136,8.566929108
0.452941894,0.1275177002,3.05317688,8.116485596,8.672686334
0.456939697,0.1275177002,3.014862061,8.255355835,8.78957075
0.4609375,0.1418914795,2.97895813,8.396606445,8.910517635
0.464935302,0.13230896,2.92868042,8.506744385,8.997742755
0.468933105,0.1131591797,2.859237671,8.573776245,9.038677124
0.472961425,0.1251220703,2.84487915,8.736587524,9.188958292
0.476959228,0.1538543701,2.87600708,8.875457764,9.331068449
0.480957031,0.1730041504,2.94303894,8.779678345,9.26143404
0.484954834,0.18019104,3.00289917,8.650390625,9.158555028
0.488983154,0.2208862305,3.04838562,8.667160034,9.190272503
0.492980957,0.2639923096,3.13218689,8.762924194,9.309625507
0.496978759,0.2951202393,3.163314819,8.887420654,9.438215005
0.500976562,0.3717346191,3.22076416,8.964035034,9.532336151
0.505004882,0.3573608398,3.340484619,8.985580444,9.593080849
0.509002685,0.3884887695,3.421875,8.911361694,9.553665228
0.513000488,0.3573608398,3.364425659,8.648010254,9.286288179
0.516998291,0.2568054199,3.309356689,8.468444824,9.095732431
0.521026611,0.1442718506,3.338088989,8.410980225,9.050317166
0.525024414,0.05569458008,3.37399292,8.276901245,8.938345727
0.529022216,-0.0352935791,3.52722168,8.118881226,8.852048959
0.533020019,-0.0376739502,3.611022949,8.197891235,8.958031412
0.537048339,-0.01852416992,3.718765259,8.190704346,8.995398594
0.541046142,0.02935791016,3.685241699,8.164367676,8.957609492
0.545043945,0.05569458008,3.702011108,8.183532715,8.982104198
0.549041748,0.02935791016,3.764251709,8.284088135,9.099262005
0.553070068,-0.04006958008,3.723556519,8.394210815,9.183096097
0.557067871,-0.02331542969,3.656509399,8.454071045,9.210967475
0.561065673,0.05569458008,3.584686279,8.729400635,9.436922859
0.565063476,0.03175354004,3.42427063,8.940093994,9.573500836
0.569091796,-0.004165649414,3.366821289,9.114868164,9.716806296
0.573089599,-0.001770019531,3.3309021,9.217819214,9.801178653
0.577087402,0.06048583984,3.421875,9.217819214,9.832653666
0.581085205,0.1466674805,3.496109009,8.925735474,9.587129043
0.585083007,0.1347045898,3.39553833,8.420547485,9.080387978
0.589111328,0.04850769043,3.462585449,8.310424805,9.003055671
0.59310913,-0.03050231934,3.563140869,8.140426636,8.886138028
0.597106933,-0.11668396,3.563140869,8.011138916,8.768576551
0.601104736,-0.1789398193,3.50088501,7.740600586,8.497359163
0.605133056,-0.1693572998,3.2447052,7.182754517,7.883448242
0.609130859,-0.1430206299,3.09387207,6.921783447,7.583111853
0.613128662,-0.1286621094,3.14414978,6.893051147,7.577360088
0.617126464,0.0078125,3.04598999,7.218658447,7.834994948
0.621154785,0.3094787598,3.07472229,7.824401855,8.412547691
0.625152587,0.8218383789,3.845657349,8.573776245,9.432610342
0.62915039,1.444335938,7.463287354,9.069381714,11.83386873
0.63317871,2.907180786,15.94595337,5.906646729,17.25148123
0.637176513,3.424331665,23.12615967,-0.6534729004,23.38743969
0.641174316,2.832962036,25.92738342,1.587509155,26.12996499
0.645172119,3.352508545,25.58979797,17.86807251,31.3902069
0.649200439,1.805862427,22.86758423,16.81222534,28.44008559
0.653198242,0.6542510986,20.86604309,13.75244141,24.99898885
0.657196044,0.1179351807,18.45986938,11.60723877,21.80616147
0.661193847,-0.1980895996,15.6275177,9.799621582,18.44698165
0.665222168,-0.1382446289,12.98193359,7.812423706,15.15201886
0.66921997,0.1993408203,10.58055115,7.022338867,12.70043474
0.673217773,1.204910278,8.080993652,9.952850342,12.87685898
0.677215576,1.243209839,5.818481445,10.30958557,11.90327063
0.681243896,0.9918212891,4.176055908,9.426116943,10.35735647
0.685241699,1.025344849,3.28302002,8.430130005,9.104759437
0.689239502,0.9774627686,2.64855957,7.498779297,8.012614567
0.693237304,0.8601379395,2.138595581,6.636871338,7.025773231
0.697265625,0.6734008789,1.702850342,6.031143188,6.303003743
0.701263427,0.7188873291,1.377227783,6.526733398,6.709083709
0.70526123,1.034927368,1.259918213,8.138031006,8.29976007
0.709259033,1.937530518,2.310974121,9.213027954,9.694045078
0.713287353,2.208084106,3.39553833,9.306411743,10.14961159
0.717285156,1.602340698,4.051559448,9.016708374,10.01417294
0.721282959,1.240829468,4.231124878,8.547439575,9.617733558
0.725280761,0.9798583984,4.346038818,8.068603516,9.216861645
0.729309082,0.8122558594,4.427444458,8.082977295,9.251840139
0.733306884,0.7404327393,4.492095947,8.717437744,9.834677802
0.737304687,0.7380371094,4.580673218,9.268096924,10.36459775
0.74130249,0.6973419189,4.678833008,9.368652344,10.49520895
0.74533081,0.6374816895,4.654891968,9.055023193,10.20136497
0.749328613,0.5919952393,4.635742188,8.509140015,9.708039338
0.753326416,0.5800170898,4.647720337,8.032699585,9.298493791
0.757324218,0.572845459,4.654891968,7.872283936,9.163461437
0.761352539,0.5608673096,4.676437378,8.085372925,9.357184086
0.765350341,0.5824127197,4.705169678,8.418167114,9.661436945
0.769348144,0.572845459,4.719543457,8.564208984,9.795300807
0.773345947,0.5752410889,4.707565308,8.499557495,9.733167575
0.777374267,0.5824127197,4.676437378,8.420547485,9.649553932
0.78137207,0.6063537598,4.652496338,8.425338745,9.643636245
0.785369873,0.6111450195,4.674057007,8.557022095,9.76948997
0.789367675,0.6231231689,4.678833008,8.770111084,9.959649051
0.793395996,0.6015777588,4.662078857,8.870666504,10.03920312
0.797393798,0.6111450195,4.659683228,8.748565674,9.930938896
0.801391601,0.6087493896,4.647720337,8.545059204,9.746277082
0.805389404,0.5943908691,4.628555298,8.396606445,9.606238829
0.809417724,0.6111450195,4.621383667,8.384643555,9.593379632
0.813415527,0.6063537598,4.609405518,8.485198975,9.675375225
0.81741333,0.6015777588,4.618988037,8.597717285,9.778429772
0.821411132,0.6207275391,4.621383667,8.624053955,9.803917395
0.825439453,0.6111450195,4.616592407,8.564208984,9.748440861
0.829437255,0.6015777588,4.614196777,8.473220825,9.666859824
0.833435058,0.6207275391,4.611801147,8.425338745,9.624985479
0.837432861,0.6159362793,4.618988037,8.456466675,9.655374493
0.841461181,0.6231231689,4.642929077,8.511535645,9.715519128
0.845458984,0.6326904297,4.652496338,8.583358765,9.783663273
0.849456787,0.6302947998,4.650100708,8.595336914,9.792881333
0.853454589,0.6231231689,4.664474487,8.554626465,9.763566904
0.85748291,0.6183319092,4.666870117,8.533081055,9.745536585
0.861480712,0.6063537598,4.676437378,8.542663574,9.757757548
0.865478515,0.6111450195,4.662078857,8.549835205,9.757466861
0.869476318,0.6231231689,4.640533447,8.537872314,9.737458437
0.873504638,0.6159362793,4.602218628,8.473220825,9.662052833
0.877502441,0.6398773193,4.652496338,8.346328735,9.57686632
0.881500244,0.6494598389,4.717147827,8.276901245,9.548841601
0.885498046,0.6135406494,4.726715088,8.418167114,9.673872297
0.889526367,0.5800170898,4.721939087,8.602508545,9.830375467
0.893524169,0.5584716797,4.702774048,8.710250854,9.91445633
0.897521972,0.5608673096,4.674057007,8.753341675,9.938932112
0.901519775,0.5752410889,4.642929077,8.691101074,9.870305497
0.905548095,0.5752410889,4.623764038,8.583358765,9.766480629
0.909545898,0.5704498291,4.611801147,8.523498535,9.70794263
0.913543701,0.5824127197,4.621383667,8.545059204,9.732133804
0.917541503,0.5991821289,4.628555298,8.590545654,9.776503363
0.921569824,0.6135406494,4.616592407,8.571395874,9.754905679
0.925567627,0.6111450195,4.592651367,8.482803345,9.66560383
0.929565429,0.6302947998,4.575881958,8.403793335,9.589562537
0.933563232,0.6279144287,4.585464478,8.353515625,9.549973
0.937591552,0.6279144287,4.609405518,8.406188965,9.607544362
0.941589355,0.647064209,4.623764038,8.518722534,9.71424313
0.945587158,0.6662139893,4.640533447,8.592941284,9.788617454
0.94958496,0.6662139893,4.662078857,8.588150024,9.7946486
0.953613281,0.6662139893,4.669265747,8.530685425,9.747742175
0.957611084,0.647064209,4.676437378,8.499557495,9.722666108
0.961608886,0.6207275391,4.695602417,8.528289795,9.755291465
0.965606689,0.6159362793,4.721939087,8.612091064,9.840945013
0.969635009,0.5943908691,4.729110718,8.688705444,9.910166042
0.973632812,0.5800170898,4.724334717,8.703063965,9.919631078
0.977630615,0.5848083496,4.693206787,8.626449585,9.837876966
0.981628418,0.5776367188,4.664474487,8.509140015,9.720928464
0.985656738,0.5991821289,4.635742188,8.432525635,9.64140101
0.989654541,0.6063537598,4.626159668,8.432525635,9.637245807
0.993652343,0.5991821289,4.633346558,8.485198975,9.686357478
0.997650146,0.5991821289,4.633346558,8.545059204,9.738837526
1.001678466,0.6063537598,4.623764038,8.569000244,9.755748251
1.005676269,0.6231231689,4.618988037,8.530685425,9.720901542
1.009674072,0.6302947998,4.618988037,8.473220825,9.670976847
1.013671875,0.6183319092,4.611801147,8.468444824,9.662587744
1.017700195,0.5943908691,4.614196777,8.506744385,9.695814171
1.021697998,0.5991821289,4.623764038,8.552230835,9.740578287
1.0256958,0.6135406494,4.647720337,8.590545654,9.786481037
1.029693603,0.6159362793,4.652496338,8.604904175,9.801503738
