Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,0.2161102295,4.860794067,8.025512695,9.385247819
0.003997803,0.2137145996,4.911071777,7.965652466,9.360337555
0.008026123,0.1777954102,4.966140747,7.917770386,9.34800797
0.012054444,0.1466674805,4.992477417,7.889038086,9.337197868
0.016082764,0.1131591797,5.018814087,7.867492676,9.332670617
0.020111084,0.07963562012,5.061904907,7.843551636,9.335444573
0.024139405,0.01260375977,5.081069946,7.836364746,9.339488374
0.028137207,-0.04486083984,5.076278687,7.869888306,9.36513533
0.032165528,-0.04486083984,4.927841187,7.951293945,9.354608846
0.036193848,-0.19090271,4.640533447,8.087753296,9.326454197
0.040222168,-0.1932983398,4.118591309,8.221832275,9.197754323
0.044219971,-0.1956939697,3.625396729,8.396606445,9.147939515
0.048248291,-0.1549987793,3.215988159,8.571395874,9.156169051
0.052276612,-0.08317565918,2.92149353,8.770111084,9.244289646
0.056274414,0.02217102051,2.706008911,8.937698364,9.338384648
0.060302735,0.1107635498,2.536026001,9.043045044,9.392569409
0.064300537,0.1610412598,2.418716431,9.066986084,9.3854334
0.068328858,0.2232818604,2.351669312,9.021499634,9.325645231
0.07232666,0.2568054199,2.313369751,8.942489624,9.240440969
0.076354981,0.2639923096,2.279846191,8.815597534,9.109453907
0.080352784,0.2568054199,2.282241821,8.717437744,9.014893099
0.084381104,0.2663879395,2.322937012,8.626449585,8.937708394
0.088378907,0.2352600098,2.346878052,8.501953125,8.823060172
0.092407227,0.1993408203,2.385192871,8.384643555,8.719583094
0.09640503,0.18019104,2.401947021,8.207473755,8.553621674
0.10043335,0.1466674805,2.399551392,8.037475586,8.389301045
0.104431153,0.1347045898,2.442657471,7.946502686,8.314543029
0.108459473,0.1442718506,2.533630371,8.023117065,8.414897781
0.112457276,0.1371002197,2.59588623,8.133255005,8.53857475
0.116455078,0.09399414062,2.6222229,8.159591675,8.571104021
0.120483399,0.05809020996,2.64616394,8.159591675,8.578140496
0.124481202,0.07963562012,2.679672241,8.190704346,8.618272613
0.128479004,0.08682250977,2.634185791,8.130859375,8.547359072
0.132507325,0.1035766602,2.617431641,8.094940186,8.508215625
0.136505127,0.1155548096,2.564758301,8.027908325,8.428442925
0.140533448,0.08682250977,2.49772644,8.109313965,8.485702593
0.14453125,0.10597229,2.454620361,8.298446655,8.654513743
0.148529053,0.1251220703,2.411529541,8.439712524,8.778375576
0.152557373,0.09161376953,2.433074951,8.480407715,8.823013193
0.156555176,0.05569458008,2.476165771,8.492385864,8.846192202
0.160552979,0.02696228027,2.610244751,8.566604614,8.955491011
0.164581299,-0.09753417969,2.734741211,8.509140015,8.938332406
0.168579102,-0.1956939697,2.765869141,8.334365845,8.783506263
0.172576905,-0.1238708496,2.739532471,7.996780396,8.45392683
0.176605225,-0.1573944092,2.808959961,7.845947266,8.335101533
0.180603028,-0.2388000488,2.962188721,7.989593506,8.524388064
0.18460083,-0.4279327393,3.21836853,8.123672485,8.748432835
0.188598633,-0.4853973389,3.385971069,8.207473755,8.891739768
0.192626953,-0.3417510986,3.285415649,8.262542725,8.898334792
0.196624756,-0.2699127197,3.266265869,8.439712524,9.053733655
0.200622559,-0.2579498291,3.24949646,8.583358765,9.181492964
0.204650879,-0.1813354492,3.215988159,8.710250854,9.286761133
0.208648682,-0.1573944092,3.23034668,8.676727295,9.259887106
0.212646485,-0.1765441895,3.213592529,8.707855225,9.283592376
0.216644287,-0.1837310791,3.215988159,8.676727295,9.255373223
0.220672608,-0.2364044189,3.316543579,8.710250854,9.323294391
0.22467041,-0.2675170898,3.285415649,8.480407715,9.098507372
0.228668213,-0.2579498291,3.292602539,8.552230835,9.167792638
0.232666016,-0.19090271,3.1824646,8.463653564,9.044222268
0.236694336,-0.1932983398,3.0962677,8.276901245,8.839192958
0.240692139,-0.1071166992,3.14654541,8.240982056,8.821904967
0.244689942,-0.1262664795,3.12739563,8.114089966,8.696838657
0.248687744,-0.1932983398,3.16809082,8.164367676,8.759626889
0.252716065,-0.1597900391,3.261474609,8.312820435,8.931166389
0.256713868,-0.06401062012,3.30696106,8.303237915,8.937776495
0.26071167,0.01020812988,3.27104187,7.991989136,8.63549127
0.264709473,0.01499938965,3.266265869,7.575393677,8.249564053
0.268737793,0.01020812988,3.31892395,7.505966187,8.207002424
0.272735596,-0.05204772949,3.359634399,7.685531616,8.387922775
